
kp,t_ms,sp,rpm,pwm
50.0,10559,70,24.4,2282
50.0,10619,70,24.4,2282
50.0,10679,70,21.9,2404
50.0,10739,70,21.9,2404
50.0,10799,70,24.4,2282
50.0,10859,70,24.4,2282
50.0,10919,70,21.9,2404
50.0,10979,70,21.9,2404
50.0,11039,70,24.4,2282
50.0,11099,70,24.4,2282
50.0,11159,70,24.4,2282
50.0,11219,70,24.4,2282
50.0,11279,70,24.4,2282
50.0,11339,70,24.4,2282
50.0,11399,70,21.9,2404
50.0,11459,70,21.9,2404
50.0,11519,70,24.4,2282
50.0,11579,70,21.9,2404
50.0,11639,70,24.4,2282
50.0,11699,70,24.4,2282
50.0,11759,70,21.9,2404
50.0,11819,70,24.4,2282
50.0,11879,70,24.4,2282
50.0,11939,70,21.9,2404
50.0,11999,70,24.4,2282
50.0,12059,30,21.9,404
50.0,12119,30,19.5,526
50.0,12179,30,14.6,769
50.0,12239,30,12.2,891
50.0,12299,30,7.3,1135
50.0,12359,30,7.3,1135
50.0,12419,30,7.3,1135
50.0,12479,30,4.9,1256
50.0,12539,30,4.9,1256
50.0,12599,30,4.9,1256
50.0,12659,30,2.4,1378
50.0,12719,30,2.4,1378
50.0,12779,30,2.4,1378
50.0,12839,30,2.4,1378
50.0,12899,30,0.0,1500
50.0,12959,30,0.0,1500
50.0,13019,30,0.0,1500
50.0,13079,30,0.0,1500
50.0,13139,30,0.0,1500
50.0,13199,30,0.0,1500
50.0,13259,30,0.0,1500
50.0,13319,30,0.0,1500
50.0,13379,30,0.0,1500
50.0,13439,30,0.0,1500
50.0,13499,30,0.0,1500
50.0,13559,30,0.0,1500
50.0,13619,30,0.0,1500
50.0,13679,30,0.0,1500
50.0,13739,30,0.0,1500
50.0,13799,30,0.0,1500
50.0,13859,30,0.0,1500
50.0,13919,30,0.0,1500
50.0,13979,30,0.0,1500
50.0,14039,30,0.0,1500
50.0,14099,30,0.0,1500
50.0,14159,30,0.0,1500
50.0,14219,30,0.0,1500
50.0,14279,30,0.0,1500
50.0,14339,30,0.0,1500
50.0,14399,30,0.0,1500
50.0,14459,30,0.0,1500
50.0,14519,30,0.0,1500
50.0,14579,30,0.0,1500
50.0,14639,30,0.0,1500
50.0,14699,30,0.0,1500
50.0,14759,30,0.0,1500
50.0,14819,30,0.0,1500
50.0,14879,30,0.0,1500
50.0,14939,30,0.0,1500
50.0,14999,30,0.0,1500
75.0,59,30,2.4,2067
